Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
0 6.23652e-06 0 0 0.500005
1 6.23652e-06 6.23652e-06 1.3801e-08 0.500005
2 0.000150141 0.000156377 1.21691e-06 0.500005
3 0.000275811 0.000432188 7.05736e-06 0.500005
4 0.000390462 0.00082265 2.46182e-05 0.500005
5 0.00049342 0.00131607 6.00964e-05 0.500005
6 0.000587404 0.00190347 0.000117679 0.500005
7 0.000671894 0.00257537 0.000197266 0.500005
8 0.00074942 0.00332479 0.00029499 0.500005
9 0.000819281 0.00414407 0.000401268 0.500004
10 0.000887555 0.00503163 0.000509801 0.500004
11 0.000940281 0.00597191 0.000613512 0.500004
12 0.0010003 0.0069722 0.000711976 0.500004
13 0.00104526 0.00801746 0.000805145 0.500004
14 0.00108215 0.00909961 0.000895211 0.500004
15 0.00112223 0.0102218 0.000984217 0.500003
16 0.00116595 0.0113878 0.00107363 0.500003
17 0.00119746 0.0125852 0.00116283 0.500002
18 0.00123119 0.0138164 0.00125212 0.500002
19 0.00124904 0.0150655 0.00134031 0.500001
20 0.00126768 0.0163332 0.00142732 0.500001
21 0.00130729 0.0176405 0.00151486 0.5
22 0.00132838 0.0189688 0.00160245 0.499999
23 0.00132838 0.0202972 0.00168912 0.499999
24 0.00135089 0.0216481 0.00177632 0.499998
25 0.00137459 0.0230227 0.00186391 0.499997
26 0.00137459 0.0243973 0.00195025 0.499996
27 0.00140005 0.0257973 0.00203622 0.499995
28 0.00140005 0.0271974 0.00212017 0.499994
29 0.0014275 0.0286249 0.00220328 0.499993
30 0.0014275 0.0300524 0.00228384 0.499991
31 0.0014275 0.0314799 0.00236178 0.49999
32 0.0014275 0.0329074 0.00243674 0.499989
33 0.00145853 0.0343659 0.00251036 0.499987
34 0.00145853 0.0358245 0.00258199 0.499986
35 0.00145853 0.037283 0.00265226 0.499984
36 0.00145853 0.0387415 0.0027213 0.499982
37 0.00145853 0.0402001 0.0027888 0.499981
38 0.00145853 0.0416586 0.00285452 0.499979
39 0.00145853 0.0431171 0.00291688 0.499977
40 0.00149692 0.0446141 0.00298088 0.499975
41 0.00149692 0.046111 0.00304422 0.499973
42 0.00149692 0.0476079 0.00310665 0.499971
43 0.00149692 0.0491048 0.00316823 0.499969
44 0.00149692 0.0506017 0.00322906 0.499966
45 0.00149692 0.0520987 0.00328938 0.499964
46 0.00149692 0.0535956 0.00334944 0.499962
47 0.00149692 0.0550925 0.00340954 0.499959
48 0.00149692 0.0565894 0.00347007 0.499957
49 0.00149692 0.0580863 0.00353112 0.499954
50 0.00149692 0.0595832 0.0035928 0.499951
51 0.00149692 0.0610802 0.00365516 0.499948
52 0.00149692 0.0625771 0.00371813 0.499946
53 0.00149692 0.064074 0.00378162 0.499943
54 0.00149692 0.0655709 0.00384594 0.49994
55 0.00149692 0.0670678 0.00391051 0.499937
56 0.00149692 0.0685647 0.00397506 0.499934
57 0.00149692 0.0700617 0.00403951 0.499931
58 0.00149692 0.0715586 0.00410385 0.499927
59 0.00149692 0.0730555 0.00416808 0.499924
60 0.00149692 0.0745524 0.00423204 0.499921
61 0.00149692 0.0760493 0.00429671 0.499917
62 0.00149692 0.0775462 0.00435988 0.499914
63 0.00149692 0.0790432 0.00442259 0.49991
64 0.00149692 0.0805401 0.00448471 0.499907
65 0.00149692 0.082037 0.0045462 0.499903
66 0.00149692 0.0835339 0.00460698 0.499899
67 0.00149692 0.0850308 0.00466701 0.499895
68 0.00149692 0.0865277 0.00472616 0.499891
69 0.00149692 0.0880247 0.00478419 0.499887
70 0.00149692 0.0895216 0.00484135 0.499883
71 0.00149692 0.0910185 0.00489821 0.499879
72 0.00149692 0.0925154 0.00495462 0.499875
73 0.00149692 0.0940123 0.00501068 0.499871
74 0.00149692 0.0955092 0.00506648 0.499867
75 0.00149692 0.0970062 0.00512219 0.499862
76 0.00149692 0.0985031 0.00517793 0.499858
77 0.00149692 0.1 0.00523378 0.499853
78 0.00151515 0.101515 0.00529041 0.499849
79 0.00151515 0.10303 0.00534728 0.499844
80 0.00151515 0.104545 0.00540442 0.499839
81 0.00151515 0.106061 0.00546219 0.499834
82 0.00151515 0.107576 0.00552012 0.499829
83 0.00151515 0.109091 0.00557811 0.499824
84 0.00151515 0.110606 0.00563589 0.499819
85 0.00151515 0.112121 0.00569406 0.499814
86 0.00151515 0.113636 0.00575262 0.499809
87 0.00151515 0.115152 0.00581146 0.499803
88 0.00151515 0.116667 0.00587064 0.499798
89 0.00151515 0.118182 0.00593017 0.499793
90 0.00151515 0.119697 0.00599002 0.499787
91 0.00151515 0.121212 0.00605016 0.499782
92 0.00151515 0.122727 0.00611051 0.499776
93 0.00151515 0.124242 0.00617099 0.49977
94 0.00151515 0.125758 0.00623152 0.499764
95 0.00151515 0.127273 0.00629199 0.499759
96 0.00151515 0.128788 0.0063523 0.499753
97 0.00151515 0.130303 0.00641238 0.499747
98 0.00151515 0.131818 0.00647215 0.499741
99 0.00151515 0.133333 0.00653162 0.499735
100 0.00151515 0.134848 0.00659072 0.499728
101 0.00151515 0.136364 0.00664932 0.499722
102 0.00151515 0.137879 0.00670774 0.499716
103 0.00151515 0.139394 0.00676617 0.499709
104 0.00151515 0.140909 0.00682512 0.499703
105 0.00151515 0.142424 0.00688356 0.499696
106 0.00151515 0.143939 0.00694213 0.49969
107 0.00151515 0.145455 0.00700086 0.499683
108 0.00151515 0.14697 0.00705974 0.499676
109 0.00151515 0.148485 0.00711879 0.499669
110 0.00151515 0.15 0.00717801 0.499663
111 0.00151515 0.151515 0.00723745 0.499656
112 0.00151515 0.15303 0.00729711 0.499649
113 0.00151515 0.154545 0.00735704 0.499641
114 0.00151515 0.156061 0.00741725 0.499634
115 0.00151515 0.157576 0.00747838 0.499627
116 0.00151515 0.159091 0.00753856 0.49962
117 0.00151515 0.160606 0.00759969 0.499612
118 0.00151515 0.162121 0.00766114 0.499605
119 0.00151515 0.163636 0.00772287 0.499597
120 0.00151515 0.165152 0.00778509 0.49959
121 0.00151515 0.166667 0.00784777 0.499582
122 0.00151515 0.168182 0.00791086 0.499574
123 0.00151515 0.169697 0.00797429 0.499567
124 0.00151515 0.171212 0.00803801 0.499559
125 0.00151515 0.172727 0.00810195 0.499551
126 0.00151515 0.174242 0.0081661 0.499543
127 0.00151515 0.175758 0.00823038 0.499535
128 0.00151515 0.177273 0.00829476 0.499526
129 0.00151515 0.178788 0.00835916 0.499518
130 0.00151515 0.180303 0.00842362 0.49951
131 0.00151515 0.181818 0.0084881 0.499502
132 0.00151515 0.183333 0.00855261 0.499493
133 0.00151515 0.184848 0.00861713 0.499485
134 0.00151515 0.186364 0.00868168 0.499476
135 0.00151515 0.187879 0.00874625 0.499468
136 0.00151515 0.189394 0.00881024 0.499459
137 0.00151515 0.190909 0.00887489 0.49945
138 0.00151515 0.192424 0.0089396 0.499441
139 0.00151515 0.193939 0.0090043 0.499432
140 0.00151515 0.195455 0.00906911 0.499423
141 0.00151515 0.19697 0.00913414 0.499414
142 0.00151515 0.198485 0.00919938 0.499405
143 0.00151515 0.2 0.00926485 0.499396
144 0.00151515 0.201515 0.0093306 0.499387
145 0.00151515 0.20303 0.00939663 0.499378
146 0.00151515 0.204545 0.00946297 0.499368
147 0.00151515 0.206061 0.00952961 0.499359
148 0.00151515 0.207576 0.00959657 0.499349
149 0.00151515 0.209091 0.00966386 0.49934
150 0.00151515 0.210606 0.00973149 0.49933
151 0.00151515 0.212121 0.00979946 0.49932
152 0.00151515 0.213636 0.00987171 0.49931
153 0.00151515 0.215152 0.00993819 0.499301
154 0.00151515 0.216667 0.0100076 0.499291
155 0.00151515 0.218182 0.010077 0.499281
156 0.00151515 0.219697 0.0101469 0.49927
157 0.00151515 0.221212 0.0102169 0.49926
158 0.00151515 0.222727 0.0102871 0.49925
159 0.00151515 0.224242 0.0103577 0.49924
160 0.00151515 0.225758 0.0104286 0.499229
161 0.00151515 0.227273 0.0104998 0.499219
162 0.00151515 0.228788 0.0105712 0.499208
163 0.00151515 0.230303 0.0106429 0.499198
164 0.00151515 0.231818 0.0107148 0.499187
165 0.00151515 0.233333 0.010787 0.499176
166 0.00151515 0.234848 0.0108593 0.499166
167 0.00151515 0.236364 0.0109318 0.499155
168 0.00151515 0.237879 0.0110044 0.499144
169 0.00151515 0.239394 0.0110773 0.499133
170 0.00151515 0.240909 0.0111503 0.499122
171 0.00151515 0.242424 0.0112235 0.499111
172 0.00151515 0.243939 0.0112968 0.499099
173 0.00151515 0.245455 0.0113703 0.499088
174 0.00151515 0.24697 0.011444 0.499077
175 0.00151515 0.248485 0.0115179 0.499065
176 0.00151515 0.25 0.0116064 0.499054
177 0.00151515 0.251515 0.0116788 0.499042
178 0.00151515 0.25303 0.011753 0.499031
179 0.00151515 0.254545 0.0118278 0.499019
180 0.00151515 0.256061 0.011903 0.499007
181 0.00151515 0.257576 0.0119772 0.498995
182 0.00151515 0.259091 0.0120529 0.498983
183 0.00151515 0.260606 0.0121289 0.498971
184 0.00151515 0.262121 0.0122052 0.498959
185 0.00151515 0.263636 0.0122819 0.498947
186 0.00151515 0.265152 0.012359 0.498935
187 0.00151515 0.266667 0.0124364 0.498922
188 0.00151515 0.268182 0.0125143 0.49891
189 0.00151515 0.269697 0.0125926 0.498898
190 0.00151515 0.271212 0.0126713 0.498885
191 0.00151515 0.272727 0.0127504 0.498873
192 0.00151515 0.274242 0.0128299 0.49886
193 0.00151515 0.275758 0.0129098 0.498847
